sampleid,latitude,longitude,has_solar
0001,21.11011407,72.86434589,1
0002,21.5030457,70.45946829,1
0003,21.19117593,72.79289965,1
0004,21.13615924,72.79990572,1
0005,21.21694986,72.90308857,1
0006,23.45299974,71.99576554,1
0007,21.24767334,72.84232408,1
0008,22.98773751,72.62128461,1
0009,23.00252695,72.60532612,1
0010,23.05396927,72.55982691,1
0011,22.29917479,70.75958762,1
0012,21.21700259,72.89488177,1
0013,21.7262659,70.44028968,1
0014,21.21891176,72.88134893,1
0015,23.06622237,72.51351347,1
0016,22.03418798,71.20493872,1
0017,21.11862822,72.84291726,1
0018,21.74289695,70.27153947,1
0019,21.76093732,70.61912758,1
0020,21.23717499,72.89936005,1
0021,22.98092585,72.60870175,1
0022,21.16804391,72.83912105,1
0023,23.06719377,72.51318087,1
0024,22.97528731,72.49856595,1
0025,21.23991326,72.90801458,1
0026,21.23777066,72.87644408,1
0027,23.00860571,72.55464904,1
0028,21.11003472,72.86054141,1
0029,21.2329636,72.8218993,1
0030,21.21059453,72.78330227,1
0031,21.2622988,72.9579835,1
0032,21.24034616,72.90761225,1
0033,21.21717883,72.89170366,1
0034,21.22016811,72.85440536,1
0035,21.2154966,72.82869656,1
0036,23.03919127,72.66153866,1
0037,23.07479507,72.56304175,1
0038,22.95879278,72.62063796,1
0039,21.7245341,70.44393376,1
0040,22.29492524,70.75648583,1
0041,23.10700347,72.60292792,1
0042,21.2106474,72.78414717,1
0043,21.24118072,72.87625015,1
0044,21.21832973,72.87995248,1
0045,22.98167907,72.5938463,1
0046,21.20150223,72.87458886,1
0047,21.21524705,72.77655094,1
0048,21.13118639,72.89036326,1
0049,23.11078102,72.56469145,1
0050,23.04638936,72.66056356,1
0051,22.37708228,71.97933866,1
0052,21.26256303,72.95797545,1
0053,21.22612402,72.92934974,1
0054,23.00842105,72.66189737,1
0055,23.10842183,72.57423108,1
0056,23.0757838,72.56309271,1
0057,23.06840127,72.67081615,1
0058,22.27756752,70.80376968,1
0059,22.97048094,72.61640455,1
0060,21.21606569,72.89256351,1
0061,21.1968859,72.78091073,1
0062,21.1960853,72.78136939,1
0063,21.2208352,72.82890652,1
0064,22.29189994,70.79017971,1
0065,21.2148151,72.87400805,1
0066,22.31621546,70.79254251,1
0067,23.02327542,72.5721614,1
0068,22.98182871,72.60365971,1
0069,22.45884206,70.05688816,1
0070,21.23041291,72.88963242,1
0071,21.21808107,72.88146963,1
0072,22.29821532,70.79546781,1
0073,21.24677786,72.89100997,1
0074,21.19614069,72.78012752,1
0075,23.02935139,72.46702566,1
0076,21.21746073,72.89413075,1
0077,21.22298529,72.78843246,1
0078,21.7654348,70.62195475,1
0079,23.06878635,72.53798163,1
0080,21.21642441,72.89392661,1
0081,21.22179657,72.88332216,1
0082,22.28903724,70.79349726,1
0083,21.22392771,72.81963021,1
0084,21.22472816,72.81918228,1
0085,22.84952067,72.38961458,1
0086,21.23376312,72.90430723,1
0087,21.20810054,72.875287,1
0088,21.13121661,72.89018624,1
0089,22.31438698,70.81857697,1
0090,23.01164811,72.6412333,1
0091,22.29489026,70.7569874,1
0092,23.06268199,72.52304134,1
0093,23.07430686,72.5482919,1
0094,21.14703348,72.8692544,1
0095,23.04869438,72.53188012,1
0096,21.21691955,72.89293211,1
0097,22.98798113,72.62195516,1
0098,21.22433478,72.82659312,1
0099,22.2806101,70.76124565,1
0100,21.21591717,72.89188759,1
